Open,High,Low,Close,Adj Close,Volume,Date
0.015,0.0175,0.015,0.0175,0.0175,45000.0,2017-07-10
0.0125,0.0125,0.0125,0.0125,0.0125,3042.0,2017-07-11
0.0125,0.0125,0.0125,0.0125,0.0125,0.0,2017-07-12
0.01253,0.01253,0.01253,0.01253,0.01253,3800.0,2017-07-13
0.015,0.015,0.0102,0.0102,0.0102,30100.0,2017-07-14
0.0102,0.0102,0.01,0.01,0.01,70000.0,2017-07-17
0.013,0.013,0.0105,0.0105,0.0105,40000.0,2017-07-18
0.0105,0.0105,0.0105,0.0105,0.0105,0.0,2017-07-19
0.0105,0.0105,0.0105,0.0105,0.0105,0.0,2017-07-20
0.01054,0.01054,0.01054,0.01054,0.01054,4000.0,2017-07-21
0.01054,0.01054,0.01054,0.01054,0.01054,0.0,2017-07-24
0.01054,0.01054,0.01054,0.01054,0.01054,0.0,2017-07-25
0.014,0.014,0.012,0.012,0.012,350470.0,2017-07-26
0.012,0.012,0.012,0.012,0.012,0.0,2017-07-27
0.011,0.011,0.01,0.01,0.01,2063338.0,2017-07-28
0.01,0.01,0.01,0.01,0.01,0.0,2017-07-31
0.01,0.01,0.01,0.01,0.01,0.0,2017-08-01
0.01,0.01,0.01,0.01,0.01,0.0,2017-08-02
0.01,0.01,0.01,0.01,0.01,0.0,2017-08-03
0.01,0.01,0.01,0.01,0.01,0.0,2017-08-04
0.01,0.01,0.01,0.01,0.01,0.0,2017-08-07
0.01,0.01,0.01,0.01,0.01,10000.0,2017-08-08
0.01,0.01,0.009,0.009,0.009,151000.0,2017-08-09
0.014,0.014,0.014,0.014,0.014,8500.0,2017-08-10
0.014,0.014,0.014,0.014,0.014,0.0,2017-08-11
0.014,0.014,0.014,0.014,0.014,0.0,2017-08-14
0.014,0.014,0.014,0.014,0.014,0.0,2017-08-15
0.014,0.014,0.014,0.014,0.014,0.0,2017-08-16
0.014,0.014,0.014,0.014,0.014,0.0,2017-08-17
0.014,0.014,0.014,0.014,0.014,0.0,2017-08-18
0.014,0.014,0.014,0.014,0.014,0.0,2017-08-21
0.014,0.014,0.014,0.014,0.014,0.0,2017-08-22
0.014,0.014,0.014,0.014,0.014,0.0,2017-08-23
0.014,0.014,0.014,0.014,0.014,0.0,2017-08-24
0.014,0.014,0.014,0.014,0.014,0.0,2017-08-25
0.014,0.014,0.011,0.011,0.011,210000.0,2017-08-28
0.011,0.011,0.011,0.011,0.011,0.0,2017-08-29
0.011,0.011,0.011,0.011,0.011,0.0,2017-08-30
0.011,0.011,0.011,0.011,0.011,0.0,2017-08-31
0.011,0.011,0.011,0.011,0.011,0.0,2017-09-01
0.011,0.011,0.011,0.011,0.011,0.0,2017-09-05
0.011,0.011,0.011,0.011,0.011,0.0,2017-09-06
0.011,0.011,0.011,0.011,0.011,0.0,2017-09-07
0.011,0.011,0.011,0.011,0.011,0.0,2017-09-08
0.00905,0.00905,0.00905,0.00905,0.00905,300.0,2017-09-11
0.00905,0.00905,0.00905,0.00905,0.00905,0.0,2017-09-12
0.00905,0.00905,0.00905,0.00905,0.00905,0.0,2017-09-13
0.00905,0.00905,0.00905,0.00905,0.00905,0.0,2017-09-14
0.014,0.014,0.008,0.008,0.008,147555.0,2017-09-15
0.01,0.01,0.01,0.01,0.01,12000.0,2017-09-18
0.01,0.01,0.01,0.01,0.01,510000.0,2017-09-19
0.01,0.01,0.01,0.01,0.01,20000.0,2017-09-20
0.01,0.01,0.01,0.01,0.01,0.0,2017-09-21
0.0135,0.014,0.0135,0.014,0.014,50000.0,2017-09-22
0.014,0.014,0.014,0.014,0.014,0.0,2017-09-25
0.0081,0.01394,0.0081,0.01394,0.01394,38500.0,2017-09-26
0.012,0.012,0.01,0.01,0.01,76900.0,2017-09-27
0.01,0.01,0.01,0.01,0.01,0.0,2017-09-28
0.008,0.00965,0.008,0.00965,0.00965,52000.0,2017-09-29
0.01,0.01,0.01,0.01,0.01,3900.0,2017-10-02
0.01,0.01,0.01,0.01,0.01,0.0,2017-10-03
0.01,0.01,0.01,0.01,0.01,0.0,2017-10-04
0.01,0.01,0.01,0.01,0.01,39471.0,2017-10-05
0.01,0.01,0.01,0.01,0.01,4000.0,2017-10-06
